question length,long answer length,short answer length
12,54,4
10,71,24
8,66,0
10,83,0
10,42,0
8,44,0
10,77,3
8,36,0
11,65,2
8,92,1
8,33,0
8,49,0
8,52,0
12,50,5
10,92,0
8,66,0
9,95,1
12,44,0
12,45,0
8,63,21
8,43,6
9,47,0
8,57,1
9,9,0
9,43,0
11,32,0
9,44,17
8,65,4
9,69,0
8,103,4
12,71,0
8,40,1
8,51,2
8,80,0
10,36,24
9,65,0
8,27,0
8,28,0
12,64,0
8,20,2
8,98,0
9,35,0
9,57,0
8,47,4
9,47,5
8,52,0
8,49,0
9,37,0
9,90,1
8,44,5
9,54,0
9,28,4
9,41,2
10,82,0
8,36,2
9,70,2
8,125,0
9,43,0
9,35,3
10,48,0
8,58,0
9,33,0
9,45,0
8,90,0
10,100,0
8,88,5
9,60,0
8,58,0
10,49,3
11,78,2
8,39,0
10,81,0
8,92,4
11,34,17
10,95,0
10,65,0
11,123,1
8,85,0
9,41,2
8,71,2
9,66,0
12,78,0
8,67,2
8,51,2
10,34,0
9,52,0
8,38,0
9,55,0
8,34,8
8,72,1
9,35,3
8,82,0
9,101,0
10,73,0
11,70,0
13,98,0
10,33,2
9,104,0
9,54,10
10,34,0
11,45,0
8,52,0
10,53,0
8,34,0
9,101,0
12,59,0
8,60,0
13,100,0
8,62,0
8,43,0
9,35,0
10,31,3
11,102,0
8,39,10
8,89,0
13,98,0
8,69,2
8,55,28
8,35,2
9,58,0
9,24,0
8,34,0
10,39,2
9,42,4
15,88,0
8,58,0
8,61,0
15,61,0
9,65,0
8,48,0
9,61,0
13,67,0
9,58,2
9,57,0
10,85,0
10,37,0
8,65,0
8,48,1
10,110,0
9,45,2
10,43,1
8,67,0
10,51,0
8,56,2
8,91,3
8,87,0
8,47,1
8,95,0
8,36,0
10,46,1
10,50,2
10,58,0
9,72,14
10,57,0
8,55,2
10,52,0
9,144,0
14,69,0
8,77,0
8,96,0
14,82,0
10,93,0
8,85,0
8,91,0
10,71,0
8,39,0
14,96,2
9,79,0
8,69,2
10,52,0
8,64,0
8,22,0
9,85,0
8,44,0
16,85,0
8,32,0
8,55,20
10,91,0
8,79,4
9,59,0
10,37,0
8,71,0
16,66,0
9,84,0
10,32,0
9,88,0
8,82,3
9,36,0
8,64,0
8,46,0
8,60,3
10,63,0
8,28,0
8,48,4
10,52,0
8,76,2
13,117,1
9,47,11
10,64,0
9,95,6
8,58,0
8,27,0
12,35,0
9,52,0
8,75,0
8,32,9
11,63,0
8,68,21
9,57,0
15,85,2
11,49,0
14,102,0
8,27,5
8,67,2
9,96,0
8,39,0
8,108,2
8,22,44
8,31,0
8,43,2
8,35,0
9,39,23
9,52,1
8,40,6
8,41,0
15,95,5
8,63,0
8,134,1
8,58,0
9,42,0
8,48,0
14,40,0
12,73,0
8,64,1
9,34,0
8,45,0
10,44,2
11,80,0
9,62,0
11,65,0
8,22,0
10,121,2
8,85,4
8,58,0
9,28,3
8,56,0
9,66,0
9,47,0
8,87,0
8,55,0
13,38,0
8,117,0
9,64,0
8,88,1
8,32,0
8,76,3
8,56,12
9,99,8
8,48,0
10,94,0
8,135,0
10,110,0
9,53,0
8,31,0
8,34,0
10,89,0
10,51,0
8,43,1
8,50,2
8,49,2
8,120,3
8,91,6
9,80,2
8,52,4
8,74,0
8,52,2
10,65,0
8,56,3
9,101,0
8,82,0
8,66,1
10,71,7
9,102,1
9,45,2
10,59,2
9,63,0
15,33,0
9,25,15
8,81,0
8,25,3
11,94,6
12,132,3
8,131,0
8,44,0
10,119,0
10,32,0
10,32,0
9,62,6
11,94,0
8,45,4
9,78,0
10,62,0
11,53,0
8,48,0
8,61,0
11,33,2
8,68,0
8,46,60
9,47,0
9,53,1
8,39,4
10,85,0
12,29,0
9,90,0
10,34,0
11,36,0
8,112,0
9,30,11
10,81,148
13,140,0
8,49,0
8,49,0
8,32,0
8,43,0
8,71,0
10,50,2
8,38,0
9,38,3
10,34,0
8,96,0
9,49,2
8,62,2
8,73,7
9,140,0
8,103,0
12,32,0
8,63,0
9,121,0
9,62,0
8,36,0
8,53,2
8,42,0
8,28,0
10,37,0
9,33,0
8,63,0
8,33,0
8,28,0
9,45,0
8,67,3
8,96,0
8,32,0
12,67,8
9,56,0
8,48,0
8,61,0
9,47,0
13,32,7
10,48,0
11,31,0
8,68,0
11,65,0
10,73,0
9,36,0
8,73,0
9,60,14
9,57,0
9,86,2
9,54,0
11,191,0
9,156,0
8,54,0
9,65,2
9,41,10
8,75,1
9,75,2
9,45,0
8,90,0
9,180,3
10,83,0
8,56,2
8,92,2
10,56,0
8,75,0
9,58,15
10,57,3
8,42,0
9,63,2
8,38,2
9,49,0
8,31,5
8,59,0
11,55,0
8,35,0
10,57,0
10,23,0
12,98,0
8,53,0
8,53,1
9,36,0
8,23,0
9,33,0
11,73,0
8,56,0
8,38,0
8,78,0
10,62,0
9,45,0
8,68,0
10,54,2
10,41,0
9,43,0
10,36,0
10,29,0
9,39,0
8,40,2
9,44,0
9,123,4
8,166,0
9,89,0
9,53,0
9,54,0
10,36,3
8,77,0
8,60,4
11,63,1
9,77,0
9,97,0
8,49,3
10,64,0
10,39,0
9,61,0
8,84,0
13,56,0
9,101,0
9,37,2
10,117,0
8,45,4
11,57,0
9,48,0
9,53,0
8,63,0
9,32,0
10,81,0
8,28,2
8,37,9
8,48,0
10,35,0
8,63,1
10,60,0
12,38,2
8,107,0
8,23,0
9,43,0
10,68,0
8,27,0
9,39,0
8,64,0
8,54,0
8,46,3
8,42,1
9,48,0
11,110,6
8,41,0
17,72,0
8,59,0
9,57,0
10,43,0
8,37,0
8,39,0
8,80,5
8,70,2
8,34,1
12,123,0
8,39,0
9,110,0
10,88,2
9,51,2
12,51,2
8,44,0
10,50,0
10,117,1
8,71,13
11,71,0
11,74,2
11,33,0
9,38,9
15,66,0
8,94,0
11,56,0
8,72,0
9,42,0
9,90,2
12,55,0
8,35,0
16,68,0
8,80,0
8,27,0
9,68,0
9,31,0
11,47,1
9,30,2
15,116,0
8,31,0
11,88,0
10,39,4
9,67,3
8,46,29
10,28,0
9,82,0
11,59,0
9,46,0
8,62,0
8,71,3
8,74,3
9,48,0
10,29,0
9,120,0
8,69,0
9,57,14
10,96,0
8,73,1
12,31,0
8,56,0
8,66,0
14,39,0
9,66,0
8,166,4
8,102,0
9,46,3
8,27,0
9,52,4
8,60,0
9,55,0
11,84,0
8,40,0
10,46,0
8,62,0
8,58,0
18,56,7
8,70,0
8,62,0
9,54,0
8,99,2
12,82,0
16,68,0
8,83,0
10,38,1
9,69,1
8,28,2
8,89,1
10,40,0
9,49,0
8,36,0
11,74,0
8,57,14
8,42,10
11,57,0
14,93,26
10,94,0
8,65,3
8,76,0
8,46,0
9,47,0
8,39,2
9,82,0
10,73,0
8,34,0
9,102,3
15,45,0
10,77,0
11,115,1
8,119,0
9,41,2
8,76,0
10,44,3
8,93,2
8,43,2
8,51,2
8,44,1
8,44,0
10,38,0
8,42,0
8,62,0
9,67,0
9,49,0
10,72,0
9,54,0
10,31,0
9,41,2
11,139,0
18,84,0
8,90,0
8,44,33
8,65,0
8,48,0
10,62,0
8,157,4
8,38,2
9,51,2
9,74,10
10,41,0
8,48,0
9,54,1
9,42,3
12,90,0
9,85,0
8,53,1
8,69,0
8,32,35
15,47,0
10,68,0
8,64,0
8,50,3
9,86,0
9,97,0
8,86,0
8,78,0
8,37,0
8,123,5
12,59,0
9,34,0
8,32,2
8,33,2
8,81,0
10,93,0
16,79,0
11,45,2
9,61,2
8,64,2
14,58,0
15,49,0
9,34,0
8,53,0
10,43,4
8,133,0
8,82,0
8,112,0
8,86,1
19,71,0
8,42,7
8,28,0
9,48,0
8,87,0
8,151,2
10,42,6
10,33,0
16,101,0
8,90,0
8,69,4
8,47,0
10,73,2
9,30,0
9,135,4
10,36,0
8,56,0
9,42,3
9,104,0
8,31,0
12,42,0
11,62,0
8,81,0
9,51,0
8,52,0
15,44,0
10,83,0
10,82,0
9,44,12
8,38,6
11,53,7
9,23,0
10,60,0
8,66,19
8,102,10
8,57,0
8,46,3
8,117,0
11,39,1
8,52,2
12,31,0
8,89,0
16,64,0
12,94,0
11,37,0
8,37,8
9,112,9
11,23,2
8,82,13
12,73,1
10,42,5
9,75,0
9,67,1
8,46,0
9,61,0
11,57,0
10,40,2
9,71,0
9,60,2
8,53,0
10,68,0
8,89,4
10,46,2
8,67,0
8,71,0
12,27,0
10,157,0
10,49,2
8,34,0
9,56,0
12,30,0
9,73,9
10,82,7
8,46,0
8,61,0
8,59,0
10,69,0
9,88,6
14,60,0
8,68,0
8,34,7
8,55,3
8,69,0
11,98,1
8,73,5
8,29,0
8,80,0
8,66,0
10,71,0
9,65,0
8,64,3
9,58,0
8,66,6
9,44,0
9,32,0
9,55,0
8,31,0
8,36,2
16,109,0
8,90,0
10,61,0
9,40,0
8,55,4
8,246,1
10,38,1
9,64,0
9,37,0
8,35,0
13,73,0
10,44,0
9,70,2
10,44,0
12,72,1
11,100,0
8,38,0
9,105,3
8,56,0
9,44,1
9,61,0
8,86,0
8,81,0
8,84,0
9,60,4
9,37,0
8,80,8
9,77,2
9,45,4
8,50,0
11,39,0
10,77,0
8,55,0
12,64,2
12,72,0
10,77,4
8,40,0
11,48,3
8,67,0
8,39,0
11,38,2
11,62,0
8,77,1
11,55,0
8,96,0
9,48,0
10,43,1
8,57,15
8,67,0
9,48,0
8,45,0
8,29,0
9,53,0
8,40,2
8,38,27
8,52,0
8,72,0
8,69,0
8,64,4
9,50,12
9,32,4
9,72,0
9,28,1
8,60,0
8,73,0
9,119,1
16,50,0
8,37,0
8,24,3
8,58,0
8,68,0
13,47,0
10,63,3
13,71,0
9,56,8
8,50,2
9,60,2
8,89,0
8,33,4
10,33,0
10,114,0
14,100,0
8,52,1
9,101,4
14,55,0
8,29,3
9,41,0
8,52,0
13,44,0
8,50,0
8,95,4
11,89,1
8,32,0
9,102,0
10,57,0
8,38,0
10,33,0
8,62,4
8,55,0
8,54,0
13,55,0
9,35,2
8,67,0
10,58,0
10,59,0
8,54,6
8,78,2
10,45,6
9,40,0
10,39,0
9,45,0
10,29,0
9,65,0
8,60,2
8,74,0
8,71,0
9,106,0
13,36,0
8,47,0
9,50,0
8,18,1
8,86,1
8,58,0
10,37,0
8,32,0
8,113,0
